songId,clipId,songNumberOfClips,artist,title,secondsSlice,duration,arousalAvg,arousalStd,valenceAvg,valenceStd
217,217_1,1,Jamie Evans,Haunted,25.0-40.0,15.0,-0.3032,0.0264,0.1,0.0151
240,240_1,1,Puh,Gammelvals,15.0-30.0,15.0,0.4912,0.0208,0.3815,0.021
241,241_1,2,Dexter Britain,After The Week I've Had,15.0-30.0,15.0,-0.2218,0.0048,-0.0869,0.0075
241,241_2,2,Dexter Britain,After The Week I've Had,30.0-45.0,15.0,-0.1524,0.0297,-0.0907,0.0074
343,343_1,1,Chatham County Line,Clear Blue Sky,30.0-45.0,15.0,0.4052,0.0173,0.6458,0.0112
384,384_1,1,Ghost Hunter,Whirlwind Dance,20.0-35.0,15.0,-0.1279,0.0092,-0.1455,0.0268
399,399_1,1,Dexter Britain,Waking Up (Instrumental),15.0-30.0,15.0,0.2721,0.0168,0.2501,0.0193
400,400_1,1,Asthmatic Astronaut,Run The Tape,15.0-25.0,10.0,-0.1643,0.0182,-0.0257,0.0191
402,402_1,2,Patrick Lee,Quittin' Time,15.0-30.0,15.0,0.4767,0.0164,0.4515,0.0318
402,402_2,2,Patrick Lee,Quittin' Time,30.0-45.0,15.0,0.4983,0.0075,0.4965,0.0116
405,405_1,1,Kevin MacLeod,Presenterator,20.0-35.0,15.0,0.273,0.0164,0.4352,0.0089
410,410_1,2,Zero V,Twinkling,15.0-30.0,15.0,-0.4328,0.0094,-0.0486,0.0181
410,410_2,2,Zero V,Twinkling,30.0-45.0,15.0,-0.4431,0.0093,-0.0109,0.0132
428,428_1,1,Revolution Void,How Exciting,15.0-30.0,15.0,0.3776,0.0117,0.0725,0.0092
429,429_1,2,Chris Zabriskie,Divider,15.0-30.0,15.0,-0.2274,0.0122,-0.1017,0.0064
429,429_2,2,Chris Zabriskie,Divider,30.0-45.0,15.0,-0.2228,0.0114,-0.1002,0.0068
432,432_1,2,Pierlo,Barbarian,15.0-30.0,15.0,0.0459,0.0074,0.2296,0.0114
432,432_2,2,Pierlo,Barbarian,30.0-45.0,15.0,0.0366,0.0055,0.239,0.007
441,441_1,2,M.W.D.,Singing Forest,15.0-30.0,15.0,0.0151,0.0047,-0.0316,0.0156
441,441_2,2,M.W.D.,Singing Forest,30.0-45.0,15.0,0.0095,0.0072,-0.0186,0.0069
455,455_1,1,Music For Your Plants,Expedition Chant Cup,15.0-25.0,10.0,0.1531,0.0285,0.2364,0.0082
463,463_1,2,Lomovolokno,Overlay Star,15.0-30.0,15.0,0.262,0.0178,0.2373,0.0154
463,463_2,2,Lomovolokno,Overlay Star,30.0-45.0,15.0,0.1909,0.0149,0.2122,0.0174
485,485_1,1,Psychadelik Pedestrian,Coral Reef,20.0-35.0,15.0,-0.2189,0.0217,-0.0106,0.0252
486,486_1,2,Pulselooper,Neurociencia,15.0-30.0,15.0,0.3017,0.0025,0.1671,0.0126
486,486_2,2,Pulselooper,Neurociencia,30.0-45.0,15.0,0.3156,0.0098,0.1791,0.0039
488,488_1,2,Blear Moon,Cold Summer Landscape,15.0-25.0,10.0,-0.5509,0.0169,-0.2488,0.0074
488,488_2,2,Blear Moon,Cold Summer Landscape,25.0-40.0,15.0,-0.6811,0.0118,-0.2632,0.0053
489,489_1,2,The Protagonist!,Pink Fuzz!,20.0-30.0,10.0,-0.0644,0.0167,-0.0578,0.0202
489,489_2,2,The Protagonist!,Pink Fuzz!,30.0-45.0,15.0,-0.04,0.0137,0.1402,0.0395
492,492_1,2,M-PeX,Beryllos,15.0-25.0,10.0,-0.0892,0.0202,-0.0493,0.0042
492,492_2,2,M-PeX,Beryllos,25.0-40.0,15.0,-0.0146,0.0095,-0.0321,0.01
493,493_1,2,General Fuzz,summer,15.0-30.0,15.0,-0.2106,0.0076,-0.0262,0.0041
493,493_2,2,General Fuzz,summer,30.0-45.0,15.0,-0.2067,0.007,-0.0156,0.0093
500,500_1,2,Music For Your Plants,Ø§ÙÙØ°Ø§ÙÙ Ø§ÙØ§ÙÙØ§Ø²ÙÙ Ø§ÙØ­Ø±Ø³,15.0-30.0,15.0,0.358,0.0052,0.1713,0.0176
500,500_2,2,Music For Your Plants,Ø§ÙÙØ°Ø§ÙÙ Ø§ÙØ§ÙÙØ§Ø²ÙÙ Ø§ÙØ­Ø±Ø³,30.0-45.0,15.0,0.3738,0.0055,0.0827,0.0051
506,506_1,1,Keshco,Like Home,25.0-40.0,15.0,-0.2415,0.0185,-0.1759,0.009
515,515_1,1,Plankton Wat,Hash Smugglers Blues,25.0-40.0,15.0,-0.1696,0.0134,-0.2623,0.0106
518,518_1,2,Free Piece of Tape,Burning School,15.0-30.0,15.0,0.0165,0.0086,-0.1496,0.0126
518,518_2,2,Free Piece of Tape,Burning School,30.0-40.0,10.0,0.0294,0.0065,-0.1745,0.0166
544,544_1,2,Rho,Day Into Night,15.0-30.0,15.0,0.0725,0.003,-0.1017,0.0247
544,544_2,2,Rho,Day Into Night,30.0-45.0,15.0,0.0749,0.005,-0.1033,0.0064
574,574_1,2,Kevin MacLeod,Cattails,15.0-30.0,15.0,-0.1082,0.0082,0.1782,0.0124
574,574_2,2,Kevin MacLeod,Cattails,30.0-45.0,15.0,-0.1223,0.0209,0.1623,0.016
580,580_1,1,Cian Nugent,Grass Above My Head,20.0-35.0,15.0,-0.4798,0.0189,-0.0075,0.0027
607,607_1,1,James Blackshaw,Past Has Not Passed,20.0-35.0,15.0,0.0697,0.0128,0.2444,0.0276
609,609_1,2,M-PeX,Eter,15.0-30.0,15.0,0.2033,0.0058,0.2942,0.0068
609,609_2,2,M-PeX,Eter,30.0-45.0,15.0,0.2055,0.0125,0.3091,0.0114
620,620_1,2,M-PeX,Aqua,15.0-30.0,15.0,0.2528,0.0036,-0.0202,0.0052
620,620_2,2,M-PeX,Aqua,30.0-45.0,15.0,0.2692,0.0066,-0.0157,0.0026
632,632_1,2,Northbound,Forward,15.0-30.0,15.0,-0.1289,0.0185,0.1914,0.0286
632,632_2,2,Northbound,Forward,30.0-45.0,15.0,-0.1192,0.0046,0.1728,0.0262
637,637_1,2,Evgeny Grinko,It smells like Chamomile Tea,15.0-30.0,15.0,-0.5508,0.0181,-0.1971,0.0094
637,637_2,2,Evgeny Grinko,It smells like Chamomile Tea,30.0-45.0,15.0,-0.5787,0.0046,-0.2249,0.0119
638,638_1,2,Evgeny Grinko,Winter Sunshine,15.0-30.0,15.0,-0.2745,0.0298,-0.0882,0.0188
638,638_2,2,Evgeny Grinko,Winter Sunshine,30.0-45.0,15.0,-0.2543,0.0229,-0.0541,0.01
639,639_1,2,Zero V,Indian Summer,15.0-30.0,15.0,0.168,0.0143,0.3384,0.0016
639,639_2,2,Zero V,Indian Summer,30.0-45.0,15.0,0.1573,0.0132,0.3425,0.0046
646,646_1,1,Kevin MacLeod,Backed Vibes Clean,15.0-30.0,15.0,-0.197,0.0213,-0.0349,0.0092
647,647_1,2,Revolution Void,Scattered Knowledge,15.0-25.0,10.0,-0.3804,0.0223,0.1411,0.0095
647,647_2,2,Revolution Void,Scattered Knowledge,25.0-40.0,15.0,-0.3237,0.0122,0.1349,0.0167
652,652_1,2,Zero V,Don't Rush,15.0-30.0,15.0,-0.296,0.0107,-0.1885,0.0147
652,652_2,2,Zero V,Don't Rush,30.0-45.0,15.0,-0.3027,0.0056,-0.2025,0.0138
684,684_1,1,Rushus,magic of fog,25.0-40.0,15.0,-0.1121,0.0069,0.0858,0.0094
711,711_1,1,Kevin MacLeod,Dances and Dames,20.0-35.0,15.0,-0.3654,0.0091,-0.2175,0.0075
712,712_1,2,Kevin MacLeod,As I Figure,15.0-30.0,15.0,-0.2204,0.0269,0.0141,0.0215
712,712_2,2,Kevin MacLeod,As I Figure,30.0-45.0,15.0,-0.1765,0.0117,0.0209,0.0076
733,733_1,2,Yair Yona,Mad About You,15.0-30.0,15.0,-0.1726,0.02,0.0143,0.023
733,733_2,2,Yair Yona,Mad About You,30.0-40.0,10.0,-0.144,0.0133,0.0218,0.0138
735,735_1,2,Revolution Void,Invisible Walls,15.0-30.0,15.0,0.0411,0.0124,0.0205,0.0149
735,735_2,2,Revolution Void,Invisible Walls,30.0-45.0,15.0,0.0613,0.0055,0.0171,0.0075
748,748_1,1,Dirty Beaches,Night City,15.0-30.0,15.0,0.0913,0.0131,-0.0311,0.0262
763,763_1,1,Jahzzar,Siesta,20.0-35.0,15.0,-0.1111,0.0159,0.1452,0.0212
775,775_1,1,Ghost Hunter,In The Early Months Of The Emergency,20.0-35.0,15.0,-0.2543,0.0058,0.0075,0.0113
776,776_1,1,Ghost Hunter,Through The Haze Of The Green Glasses,20.0-35.0,15.0,-0.0881,0.0097,-0.0029,0.0049
781,781_1,1,Delicate Steve,Butterfly,30.0-45.0,15.0,0.008,0.0214,0.416,0.0207
790,790_1,1,Sycamore Drive,City Sounds,15.0-30.0,15.0,0.5165,0.0179,0.1083,0.0085
799,799_1,2,Ducktails,Beach Point Pleasant,15.0-30.0,15.0,-0.0479,0.0106,0.1324,0.0114
799,799_2,2,Ducktails,Beach Point Pleasant,30.0-45.0,15.0,-0.0166,0.0226,0.1529,0.0163
801,801_1,1,Keshco,Marty Feldman,25.0-40.0,15.0,-0.3404,0.0084,-0.3783,0.0083
824,824_1,1,Sycamore Drive,Untold Story,25.0-40.0,15.0,0.5333,0.0181,0.4366,0.0115
871,871_1,2,Sycamore Drive,Deep Thought Process,15.0-30.0,15.0,0.2732,0.0166,-0.0508,0.0275
871,871_2,2,Sycamore Drive,Deep Thought Process,30.0-40.0,10.0,0.2743,0.0149,-0.085,0.0228
874,874_1,2,Black Math,This Love's Got to Change,15.0-30.0,15.0,0.4175,0.0069,-0.0978,0.0174
874,874_2,2,Black Math,This Love's Got to Change,30.0-45.0,15.0,0.4393,0.0064,-0.1221,0.0044
876,876_1,1,et_,Kopeika,15.0-30.0,15.0,0.5934,0.0104,0.4078,0.007
886,886_1,2,krackatoa,Mariachi Bandits of Gatling Gun Ridge,15.0-30.0,15.0,0.212,0.0126,0.0731,0.013
886,886_2,2,krackatoa,Mariachi Bandits of Gatling Gun Ridge,30.0-45.0,15.0,0.2199,0.0151,0.077,0.0207
889,889_1,2,The Freak Fandango Orchestra,Requiem for a Fish,15.0-30.0,15.0,0.5794,0.0089,0.5262,0.0209
889,889_2,2,The Freak Fandango Orchestra,Requiem for a Fish,30.0-45.0,15.0,0.5735,0.0044,0.5742,0.0151
890,890_1,1,Holy Coast,The Beach! The Beach!,20.0-35.0,15.0,-0.3552,0.0315,-0.2587,0.0082
891,891_1,2,Gillicuddy,Jupiter The Blue,15.0-30.0,15.0,-0.0916,0.0171,0.0816,0.0113
891,891_2,2,Gillicuddy,Jupiter The Blue,30.0-45.0,15.0,-0.1263,0.0087,0.0773,0.0131
898,898_1,1,Room For A Ghost,No,20.0-35.0,15.0,0.4194,0.0056,0.0995,0.0151
904,904_1,2,krackatoa,Something In the Woods,15.0-30.0,15.0,0.2123,0.0137,-0.1848,0.0062
904,904_2,2,krackatoa,Something In the Woods,30.0-45.0,15.0,0.2138,0.0087,-0.2076,0.0072
915,915_1,2,Noi,Everything Is Changing,15.0-30.0,15.0,0.0379,0.0096,0.1534,0.0084
915,915_2,2,Noi,Everything Is Changing,30.0-45.0,15.0,0.0727,0.0182,0.1181,0.0069
925,925_1,2,Charles Atlas,Photosphere,15.0-30.0,15.0,-0.0533,0.0057,-0.137,0.0124
925,925_2,2,Charles Atlas,Photosphere,30.0-45.0,15.0,-0.0641,0.0061,-0.1398,0.0267
936,936_1,1,Dumbo Gets Mad,Plumy Tale,20.0-35.0,15.0,0.2837,0.0237,0.0579,0.0098
942,942_1,1,Pajaro,Santa Leone,15.0-25.0,10.0,-0.0161,0.0192,-0.2202,0.0062
959,959_1,2,springtide,Indyair,15.0-25.0,10.0,0.3052,0.0148,0.2798,0.0177
959,959_2,2,springtide,Indyair,30.0-45.0,15.0,0.3799,0.0137,0.3529,0.0148
960,960_1,1,Anamanaguchi,Helix Nebula,20.0-35.0,15.0,0.5162,0.0058,0.4631,0.02
976,976_1,2,Glass Boy,Merry Christmas,15.0-30.0,15.0,0.3015,0.0106,0.0843,0.009
976,976_2,2,Glass Boy,Merry Christmas,30.0-45.0,15.0,0.3164,0.0062,0.0804,0.0151
977,977_1,1,Black Math,Suck City,15.0-30.0,15.0,0.4854,0.0069,-0.3471,0.0266
978,978_1,2,krackatoa,Absolutely Gorgeous,15.0-25.0,10.0,0.6388,0.0068,0.2893,0.0084
978,978_2,2,krackatoa,Absolutely Gorgeous,25.0-40.0,15.0,0.605,0.0244,0.3036,0.0092
980,980_1,2,Mahjongg,Tell The Police The Truth,15.0-30.0,15.0,0.3741,0.0177,-0.0283,0.0113
980,980_2,2,Mahjongg,Tell The Police The Truth,30.0-45.0,15.0,0.3839,0.0072,-0.0847,0.014
981,981_1,2,Morphamish,Bottums Up,15.0-30.0,15.0,0.4747,0.0091,0.4111,0.0211
981,981_2,2,Morphamish,Bottums Up,30.0-45.0,15.0,0.4764,0.0066,0.4388,0.0047
1045,1045_1,2,Yair Yona,Russian Dance,15.0-30.0,15.0,-0.0093,0.0233,-0.0208,0.0189
1045,1045_2,2,Yair Yona,Russian Dance,30.0-45.0,15.0,0.032,0.0164,-0.0259,0.0131
1051,1051_1,1,The Re-Stoned,return,20.0-35.0,15.0,0.2078,0.0075,0.1705,0.022
1052,1052_1,1,The Re-Stoned,jam,20.0-35.0,15.0,0.5148,0.0334,-0.0063,0.023
1065,1065_1,2,The Re-Stoned,mountain giant,15.0-25.0,10.0,0.4538,0.0076,0.2013,0.004
1065,1065_2,2,The Re-Stoned,mountain giant,25.0-40.0,15.0,0.4899,0.0214,0.2772,0.0193
1070,1070_1,1,Glass Candy,The Chameleon,20.0-35.0,15.0,0.3983,0.0178,0.0544,0.012
1085,1085_1,2,Podington Bear,Good,15.0-30.0,15.0,0.3642,0.0061,0.4619,0.0066
1085,1085_2,2,Podington Bear,Good,30.0-45.0,15.0,0.3291,0.021,0.45,0.0048
1088,1088_1,2,Virt,Five Nine Seven Eight,15.0-30.0,15.0,0.4298,0.0249,0.5471,0.0167
1088,1088_2,2,Virt,Five Nine Seven Eight,30.0-45.0,15.0,0.4971,0.023,0.5739,0.0123
1094,1094_1,1,Zabutom,Endorphemeral,20.0-35.0,15.0,0.4386,0.0116,0.3871,0.0183
1096,1096_1,1,hizmi,Pendulum II,20.0-35.0,15.0,0.0709,0.0119,-0.0634,0.0181
1097,1097_1,1,Madbrain,Oskari the Heimfanker,25.0-40.0,15.0,0.3653,0.0233,0.3076,0.016
1098,1098_1,1,Shogun,V.S.O.P.M.,15.0-30.0,15.0,0.4423,0.0148,0.4899,0.0208
1103,1103_1,2,Podington Bear,Colorado,15.0-30.0,15.0,-0.18,0.015,-0.216,0.0302
1103,1103_2,2,Podington Bear,Colorado,30.0-45.0,15.0,-0.2128,0.0093,-0.2447,0.0058
1104,1104_1,2,Jared C. Balogh,FOR YOU,15.0-30.0,15.0,0.3612,0.0204,0.2159,0.0347
1104,1104_2,2,Jared C. Balogh,FOR YOU,30.0-40.0,10.0,0.3755,0.0092,0.2368,0.0106
1109,1109_1,1,Nest,Kyoto,15.0-30.0,15.0,-0.3904,0.0324,-0.2141,0.0156
1112,1112_1,1,No Regrets For Our Youth,Steady,15.0-30.0,15.0,-0.1814,0.0157,-0.3265,0.0119
1113,1113_1,1,No Regrets For Our Youth,Dance,20.0-30.0,10.0,0.0679,0.0026,-0.244,0.0072
1114,1114_1,1,Nest,Marefjellet,15.0-30.0,15.0,-0.2146,0.0174,-0.3317,0.0163
1116,1116_1,1,Peter Rudenko,If,30.0-40.0,10.0,-0.3493,0.0295,0.192,0.0256
1118,1118_1,1,Nest,Lodge,25.0-40.0,15.0,-0.302,0.0197,0.0428,0.0159
1119,1119_1,1,Peter Rudenko,Waiting,15.0-30.0,15.0,-0.2725,0.0123,-0.2377,0.0145
1120,1120_1,2,Nest,Cad Goddeu,15.0-30.0,15.0,-0.1056,0.0241,-0.1607,0.0066
1120,1120_2,2,Nest,Cad Goddeu,30.0-45.0,15.0,-0.1765,0.0172,-0.1658,0.0119
1121,1121_1,1,Nest,Charlotte,15.0-30.0,15.0,-0.0649,0.0239,-0.112,0.0206
1126,1126_1,2,No Regrets For Our Youth,Trace,20.0-30.0,10.0,-0.0176,0.0365,-0.0968,0.0216
1126,1126_2,2,No Regrets For Our Youth,Trace,30.0-45.0,15.0,-0.0515,0.0441,-0.1349,0.0206
1133,1133_1,2,Fabrizio Paterlini,Lontana,15.0-25.0,10.0,-0.2255,0.0196,0.0972,0.01
1133,1133_2,2,Fabrizio Paterlini,Lontana,25.0-40.0,15.0,-0.1628,0.0177,0.0877,0.0125
1134,1134_1,1,Podington Bear,Fantasy,20.0-35.0,15.0,-0.4259,0.0179,-0.2027,0.0183
1135,1135_1,1,Podington Bear,Ever,25.0-35.0,10.0,-0.2249,0.034,-0.3347,0.0325
1138,1138_1,2,Jared C. Balogh,FIN,15.0-30.0,15.0,0.0745,0.0269,0.0489,0.0117
1138,1138_2,2,Jared C. Balogh,FIN,30.0-45.0,15.0,0.0341,0.0123,0.0529,0.0095
1147,1147_1,2,Lanark,Valentina,15.0-25.0,10.0,-0.0262,0.0253,0.0907,0.0218
1147,1147_2,2,Lanark,Valentina,30.0-40.0,10.0,-0.0028,0.0311,0.0406,0.0209
1150,1150_1,2,Fabrizio Paterlini,Profondo Blu,15.0-30.0,15.0,-0.3674,0.0068,-0.117,0.0042
1150,1150_2,2,Fabrizio Paterlini,Profondo Blu,30.0-45.0,15.0,-0.3849,0.0048,-0.1266,0.0028
1153,1153_1,2,Peter Rudenko,The Fall,15.0-30.0,15.0,-0.1125,0.0159,-0.2355,0.0217
1153,1153_2,2,Peter Rudenko,The Fall,30.0-40.0,10.0,-0.1432,0.0345,-0.2813,0.0131
1166,1166_1,1,E. R. Goodman,Open Door,20.0-35.0,15.0,-0.0594,0.0158,0.1708,0.0183
1169,1169_1,1,Lanark,Chopin Bee,20.0-35.0,15.0,-0.0787,0.0126,-0.2053,0.0316
1170,1170_1,1,Evgeny Grinko,other child room,30.0-45.0,15.0,-0.2163,0.0334,-0.3048,0.0339
1171,1171_1,1,Podington Bear,Crow,20.0-35.0,15.0,-0.3776,0.0292,-0.2028,0.0264
1174,1174_1,1,No Regrets For Our Youth,Thinking Different Doing Same vs. Doing Different Thinking Same,20.0-35.0,15.0,-0.0654,0.0214,-0.2561,0.0166
1180,1180_1,1,Circus Marcus,La rencontre,20.0-35.0,15.0,-0.1527,0.0159,-0.1791,0.013
1186,1186_1,1,Jozef van Wissem,How The Soul Has Arrived At Understanding Of Her Nothingness,20.0-35.0,15.0,-0.5081,0.0309,-0.3155,0.0249
1190,1190_1,2,Circus Marcus,La chambre,15.0-30.0,15.0,-0.1515,0.0215,-0.1993,0.0358
1190,1190_2,2,Circus Marcus,La chambre,30.0-45.0,15.0,-0.1759,0.0208,-0.2364,0.02
1191,1191_1,1,Podington Bear,Sunset,15.0-30.0,15.0,-0.1478,0.026,-0.0051,0.0166
1192,1192_1,1,E. R. Goodman,Driving,20.0-35.0,15.0,-0.0201,0.0178,0.0293,0.0206
1193,1193_1,2,E. R. Goodman,Always Greener,15.0-30.0,15.0,0.0176,0.0095,0.0689,0.0112
1193,1193_2,2,E. R. Goodman,Always Greener,30.0-45.0,15.0,0.0073,0.0115,0.0444,0.0132
1197,1197_1,2,Kosta T,New Life,15.0-30.0,15.0,-0.1107,0.0353,0.0599,0.0337
1197,1197_2,2,Kosta T,New Life,30.0-45.0,15.0,-0.1217,0.0243,-0.0017,0.0251
1199,1199_1,1,Textile Audio,Punishment,15.0-25.0,10.0,0.007,0.0188,0.0037,0.0113
1228,1228_1,1,Glenn Jones,Little Dog's Day,30.0-40.0,10.0,-0.1643,0.0264,0.1832,0.0371
1268,1268_1,2,Glenn Jones,A Geranium for Mano-A-Mano,15.0-30.0,15.0,-0.0158,0.0284,0.0426,0.0148
1268,1268_2,2,Glenn Jones,A Geranium for Mano-A-Mano,30.0-45.0,15.0,-0.045,0.0089,0.0752,0.0093
1270,1270_1,1,Voodoo Puppets,Intro,15.0-30.0,15.0,0.2532,0.0217,0.0282,0.006
1273,1273_1,1,Colin Langenus,Blues,20.0-30.0,10.0,0.1662,0.0155,-0.0128,0.0328
1279,1279_1,2,The Moaners,Monkey Tongue,15.0-30.0,15.0,0.2353,0.0214,0.2445,0.0182
1279,1279_2,2,The Moaners,Monkey Tongue,30.0-45.0,15.0,0.2336,0.0092,0.2843,0.0078
1289,1289_1,2,Glenn Jones,Fahey's Car,15.0-30.0,15.0,0.1734,0.0207,0.2251,0.0247
1289,1289_2,2,Glenn Jones,Fahey's Car,30.0-45.0,15.0,0.1861,0.0132,0.2559,0.013
1301,1301_1,1,Jupiter Makes Me Scream,Blow,25.0-40.0,15.0,-0.2255,0.0179,0.0402,0.0144
1302,1302_1,1,Jupiter Makes Me Scream,Picture,20.0-35.0,15.0,0.0992,0.0088,0.0022,0.0089
1304,1304_1,2,Control Alt Deus,Control,15.0-30.0,15.0,0.3953,0.0225,0.1414,0.0163
1304,1304_2,2,Control Alt Deus,Control,30.0-40.0,10.0,0.4539,0.0189,0.2268,0.0127
1312,1312_1,2,The Womb,Overture,15.0-25.0,10.0,0.0084,0.01,0.1252,0.0092
1312,1312_2,2,The Womb,Overture,25.0-40.0,15.0,0.0762,0.013,0.1159,0.0126
1323,1323_1,1,Pogo,Lost,15.0-30.0,15.0,0.0912,0.0056,0.2842,0.0046
1327,1327_1,1,All India Radio,Lucky,20.0-35.0,15.0,-0.233,0.0218,0.2029,0.0122
1331,1331_1,1,Dan Deacon,Woof Woof,25.0-40.0,15.0,0.0746,0.0229,0.2234,0.0186
1332,1332_1,1,Illusion of Safety,Wasteland,20.0-35.0,15.0,-0.4167,0.0357,-0.4051,0.0046
1335,1335_1,2,Nine Inch Nails,9 Ghosts I,15.0-30.0,15.0,0.3242,0.0099,0.1338,0.0128
1335,1335_2,2,Nine Inch Nails,9 Ghosts I,30.0-45.0,15.0,0.3463,0.006,0.1569,0.0077
1341,1341_1,2,Maps And Diagrams,The World And You,15.0-30.0,15.0,-0.102,0.0193,-0.1571,0.0151
1341,1341_2,2,Maps And Diagrams,The World And You,30.0-40.0,10.0,-0.1186,0.0092,-0.185,0.0045
1348,1348_1,2,Anamanaguchi,Jetpack Blues Sunset Hues,15.0-30.0,15.0,0.6014,0.0101,0.3588,0.0197
1348,1348_2,2,Anamanaguchi,Jetpack Blues Sunset Hues,30.0-45.0,15.0,0.5877,0.0132,0.4151,0.0251
1350,1350_1,2,Jupiter Makes Me Scream,This Girl,15.0-30.0,15.0,-0.0858,0.016,-0.1613,0.0174
1350,1350_2,2,Jupiter Makes Me Scream,This Girl,30.0-45.0,15.0,-0.1171,0.0232,-0.1809,0.0116
